company,acq_date,signal_date,book_value_mm,deal_price_mm,price_to_book,T10Y2Y,UMCSENT,DSPI_yoy,CPROFIT_yoy,COMPUTSA_yoy
Southern Community Bank and Trust,2012-10-11,2012-10-05,138.691,46.9,0.3381618129510927,1.48,78.3,2.822962389190109,-0.8102807597027195,10.593900481540942
Marathon National Bank of New York,2012-10-15,2012-06-19,112.078,135.0,1.204518281910812,1.34,79.3,1.0779691130244462,17.53323138454299,9.926470588235304
Beacon Federal,2012-10-19,2012-06-01,104.511,132.0,1.2630249447426587,1.22,79.3,1.0779691130244462,17.53323138454299,17.509025270758126
PremierWest Bank,2013-04-09,2012-10-30,112.115,41.4,0.3692637024483789,1.44,82.6,3.301529346927534,-0.8102807597027195,5.56414219474497
Liberty Bank of Arkansas,2013-10-25,2013-10-24,365.08,290.1,0.7946203571819876,2.2,77.5,4.819619988281576,8.611270097299538,12.591508052708633
Bank of Nevada,2013-12-31,2012-08-22,378.16,55.0,0.14544108313941187,1.45,72.3,2.901776087087793,1.2630569175015927,5.031446540880502
"MetroBank, National Association",2014-01-18,2013-09-18,137.757,273.0,1.9817504736601406,2.35,82.1,4.048451005634224,9.861292855273485,15.119760479041911
Summit Bank,2014-05-17,2013-05-16,132.079,40.6,0.3073917882479425,1.64,76.4,1.9306387646611967,1.3136041069002014,5.837173579109067
Western National Bank,2014-06-21,2013-02-27,110.317,490.0,4.441745152605673,1.64,73.8,6.686820453803755,-0.12689711182173324,36.60377358490565
BankFIRST,2014-10-01,2014-10-01,138.686,77.0,0.5552110523052074,1.89,84.6,4.700226786341721,0.9006419469195892,15.994798439531866
Intervest National Bank,2015-02-11,2014-07-31,257.558,228.5,0.8871788102097392,2.05,82.5,6.2773385273096505,-3.8849846580223724,4.503311258278142
Liberty Bank,2015-04-25,2013-10-24,131.127,290.1,2.2123590107300557,2.2,77.5,4.819619988281576,8.611270097299538,12.591508052708633
"Bridge Bank, National Association",2015-06-30,2015-03-09,181.904,425.0,2.3363972205119183,1.5,95.4,4.678976577486926,2.0737327188939947,14.250614250614246
Square 1 Bank,2015-10-07,2015-04-17,294.093,9.0,0.03060256449490467,1.36,93.0,4.829138530795984,-1.536550581957019,-5.619266055045868
